"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1457,1279,69.7188550465298,1321.48180246362
"2002/2003",2003,120,120,100,1608,1326,69.9776279532057,1120.9563521658
"2003/2004",2004,120,120,100,1579,1688.5,76.3157397116494,2944.34136402633
"2004/2005",2005,121,121,100,1573,1423.5,72.493288766067,1531.16338411372
"2005/2006",2006,120,120,100,1286,1151.5,60.2805701848802,1136.49532321878
"2006/2007",2007,120,120,100,1606,1422.5,73.5496587742654,1445.62362169515
"2007/2008",2008,120,120,100,1717,1626.5,80.6965136023089,2004.69690247276
"2008/2009",2009,121,121,100,1353,1456,71.1002562962155,2247.44738018815
"2009/2010",2010,120,120,100,1294,1309.5,69.3120809421248,1851.03379659069
"2010/2011",2011,120,120,100,1060,994,61.4956311032711,2472.61246404122
"2011/2012",2012,120,120,100,1878,1621.5,79.7521580807211,984.312278617115
"2012/2013",2013,121,121,100,1705,1522,79.4072181480433,2151.91293022037
"2013/2014",2014,120,120,100,1695,1653,79.3860205148521,2272.53453793901
"2014/2015",2015,120,120,100,2015,1984.5,85.9142183251829,1852.27659039525
"2015/2016",2016,120,120,100,1803,1401,75.0811355084379,878.227761181886
"2016/2017",2017,121,121,100,1666,1403,71.151526543094,1487.19274992275
"2017/2018",2018,120,120,100,1461,1255.5,70.8556657699987,2455.12688988517
"2018/2019",2019,120,120,100,1679,1556.5,81.4946059006465,2725.07779826957
"2019/2020",2020,120,120,100,1533,1289,71.593065273546,1198.76763190643
"2020/2021",2021,121,121,100,1205,1006.5,64.2631560833661,1608.09128469334
"2021/2022",2022,120,120,100,1910,1949.5,85.391687067729,1808.07542439888
"2022/2023",2023,120,120,100,1855,1406.5,78.7011527758023,1137.52643229882
"2023/2024",2024,120,120,100,1591,1081,66.1769656225156,571.532551406766
"2024/2025",2025,121,121,100,1626,1372.5,73.2573800653126,663.85913223587
"2025/2026",2026,120,120,100,1184,1180,65.7043758313666,2674.48796731327
"2026/2027",2027,120,120,100,1146,1550.5,77.627423629493,5347.33482889412
"2027/2028",2028,120,120,100,1639,1580.5,76.909115757504,1249.77792433719
"2028/2029",2029,121,121,100,1743,1538,76.639703897351,2349.83582051401
"2029/2030",2030,120,120,100,1830,1585,79.7186534716648,1294.81971534016
"2030/2031",2031,120,120,100,1508,1379,66.9367949087846,1437.0575736051
"2031/2032",2032,120,120,100,1953,1764.5,78.0222111035182,1049.04625149886
"2032/2033",2033,121,121,100,1741,1391.5,75.6549984520361,1663.87682120269
"2033/2034",2034,120,120,100,1710,1683.5,80.3081256158393,2496.29547145823
"2034/2035",2035,120,120,100,1859,1846,85.6925897404572,2075.77809455991
"2035/2036",2036,120,120,100,1909,1615,76.433788752217,951.370030836901
"2036/2037",2037,121,121,100,1768,1414,74.759832465902,953.450387634803
"2037/2038",2038,120,120,100,1979,1925.5,85.3285905909752,2274.7637405768
"2038/2039",2039,120,120,100,1373,1298,69.2057941064204,1448.54472937156
"2039/2040",2040,120,120,100,1638,1076,61.218076854906,234.194528484251
"2040/2041",2041,121,121,100,1874,1514,75.086898440607,710.60431536031
"2041/2042",2042,120,120,100,1725,1345.5,76.0602660614959,1872.72452933667
"2042/2043",2043,120,120,100,1375,962,58.1201325609809,431.421763994964
"2043/2044",2044,120,120,100,1638,1441.5,76.5789804273172,3690.09682811773
"2044/2045",2045,121,121,100,1803,1240,74.6077041805447,891.32955937949
"2045/2046",2046,120,120,100,2109,1851,82.6955980373432,1625.91234157421
"2046/2047",2047,120,120,100,2149,1901.5,85.149838878343,1165.35241804901
"2047/2048",2048,120,120,100,1855,1704.5,85.0587184376145,1575.71239516418
"2048/2049",2049,121,121,100,1983,1496,77.6930085394251,1323.31319163181
"2049/2050",2050,120,120,100,2129,1805,83.6014428976196,1558.17794287973
"2050/2051",2051,120,120,100,1880,1998,86.5790223170334,2232.63634735206
"2051/2052",2052,120,120,100,1719,1517,76.9423241363256,1426.48569941986
"2052/2053",2053,121,121,100,1657,1320,73.1584286072575,1073.38360810978
"2053/2054",2054,120,120,100,1175,1038.5,61.7227395981172,2256.54714001296
"2054/2055",2055,120,120,100,1475,1049,65.3090606802962,682.423546569888
"2055/2056",2056,120,120,100,2079,1624.5,79.4430834235282,931.265731873922
"2056/2057",2057,121,121,100,1796,1427.5,76.8454784284477,822.220806016121
"2057/2058",2058,120,120,100,1606,1476.5,76.2149543691667,2256.18589254655
"2058/2059",2059,120,120,100,1384,1269.5,64.9778087855393,739.822053901851
"2059/2060",2060,120,120,100,1983,1836.5,83.011980537307,2031.0922157676
"2060/2061",2061,121,121,100,1891,1350,73.8383747787811,364.155172681436
"2061/2062",2062,120,120,100,1578,1184.5,70.5998478460278,759.32431427436
"2062/2063",2063,120,120,100,1547,1357,72.4918614932176,4557.33085912326
"2063/2064",2064,120,120,100,1458,1609,77.5770612183333,3379.99990527518
"2064/2065",2065,121,121,100,1266,1048.5,64.2057507289192,3339.06921389839
"2065/2066",2066,120,120,100,1028,1014.5,62.1934534173652,3046.92806256749
"2066/2067",2067,120,120,100,1865,1343.5,76.6015185307187,863.433869659901
"2067/2068",2068,120,120,100,1749,1871,84.3339222049726,2243.44410886616
"2068/2069",2069,121,121,100,1583,1286,67.0396775271802,783.210218440276
"2069/2070",2070,120,120,100,1761,1679,81.1764666537547,1562.02963466337
"2070/2071",2071,120,120,100,1585,1521.5,74.8936789805375,1561.55064881034
"2071/2072",2072,120,120,100,1689,1572.5,75.5629334978294,1490.0562170865
"2072/2073",2073,121,121,100,1405,1282,68.0457805129554,1734.07817562763
"2073/2074",2074,120,120,100,1589,1244,64.9059101527837,861.00559972832
"2074/2075",2075,120,120,100,1738,1440.5,76.2055892910394,1170.11099195527
"2075/2076",2076,120,120,100,1553,1350,70.8032248511026,1413.48945434252
"2076/2077",2077,121,121,100,1279,1077,63.8098770876113,922.34776573116
"2077/2078",2078,120,120,100,1724,1672,80.0473974052002,3100.7564378567
"2078/2079",2079,120,120,100,1598,1715,79.6193519465687,2916.43713491503
"2079/2080",2080,120,120,100,1452,1362.5,73.654722806592,1925.53001366975
"2080/2081",2081,121,121,100,1082,981.5,64.0286153787602,2274.6110450048
"2081/2082",2082,120,120,100,1600,1223.5,70.2108948411405,1021.79084351985
"2082/2083",2083,120,120,100,2008,1391,76.7397574524985,429.210674478207
"2083/2084",2084,120,120,100,1529,1238,70.6967684297142,805.247189150658
"2084/2085",2085,121,121,100,1478,1653,81.9799088413802,3237.8987131808
"2085/2086",2086,120,120,100,1740,1426,73.5696011805885,1305.2933645458
"2086/2087",2087,120,120,100,1868,1537,78.9679599745778,1437.68952151155
"2087/2088",2088,120,120,100,1841,1576.5,78.2141805682822,1268.4166574534
"2088/2089",2089,121,121,100,1742,1541.5,79.1842932113923,1649.36830043839
"2089/2090",2090,120,120,100,2038,1645,81.2844500835618,1016.58419208741
"2090/2091",2091,120,120,100,1650,1691.5,81.998319794513,2771.04568823474
"2091/2092",2092,120,120,100,1929,1534.5,81.0139559048657,1658.68957977276
"2092/2093",2093,121,121,100,1799,1610,82.3086442864551,2429.04224970331
"2093/2094",2094,120,120,100,1635,1227.5,74.1956363367262,936.730134059209
"2094/2095",2095,120,120,100,1819,1460.5,77.2017325304223,1201.87272551656
"2095/2096",2096,120,120,100,1717,1381,76.957005518514,1375.76129552815
"2096/2097",2097,121,121,100,1624,933.5,66.7893533033748,102.899669216946
"2097/2098",2098,120,120,100,1844,1335,71.5940546981146,730.3258537855
"2098/2099",2099,120,120,100,2056,1629.5,81.2254991793488,965.572984829545
"2099/2100",2100,120,120,100,1681,1622,78.8025432322102,1667.04312716331
"2100/2101",2101,120,61,50.8333333333333,1049,913,41.6519794682208,686.002632634714
